Level, Branch, Bus1, Bus2, Distance
46, Line.s_mdv201_hn_2_660_c62246-1c1, x_62246.3, x_62246_2.3,     2.2787
-1, Load.mdv201_hn_2_660_c62246-1c1, x_62246_2.3
46, Line.s_mdv201_hn_2_660_c62246-1c0, x_62246.3, x_62246_1.3,     2.2787
-1, Load.mdv201_hn_2_660_c62246-1c0, x_62246_1.3
45, Line.mdv201_hn_2_661_c62248, 62246.3, 62248.3,     2.2961
46, Transformer.mdv201_hn_2_661_c62248-1c, 62248.3, x_62248.3,     2.2961
47, Line.s_mdv201_hn_2_661_c62248-1c1, x_62248.3, x_62248_2.3,     2.3266
-1, Load.mdv201_hn_2_661_c62248-1c1, x_62248_2.3
47, Line.s_mdv201_hn_2_661_c62248-1c0, x_62248.3, x_62248_1.3,     2.3266
-1, Load.mdv201_hn_2_661_c62248-1c0, x_62248_1.3
44, Line.mdv201_hn_21095_c1148537, 62237.3, 1148537.3,     2.2812
45, Transformer.mdv201_hn_21095_c1148537-1c, 1148537.3, x_1148537.3,     2.2812
46, Line.s_mdv201_hn_21095_c1148537-1c0, x_1148537.3, x_1148537_1.3,     2.3116
-1, Load.mdv201_hn_21095_c1148537-1c0, x_1148537_1.3
45, Line.mdv201_1149722fuse, 1148537.3, 1149722.3,     2.2827
46, Line.mdv201_hn_2p053_c1163437, 1149722.3, 1163437.3,     2.3577
47, Line.hn_2p053_sw, 1163437.3, mdv201_1163438elb_int.3,     2.3587
48, Line.mdv201_1163438elb, mdv201_1163438elb_int.3, 1163438.3,     2.3602
49, Line.mdv201_1163441elb-1_sw, 1163438.3, mdv201_1163441elb_int.3,     2.3612
50, Line.mdv201_1163441elb, mdv201_1163441elb_int.3, 1163441.3,     2.3627
51, Line.mdv201_hn_2p054_c1163442, 1163441.3, 1163442.3,     2.4356
52, Line.hn_2p054_sw, 1163442.3, mdv201_1163443elb_int.3,     2.4366
53, Line.mdv201_1163443elb, mdv201_1163443elb_int.3, 1163443.3,     2.4381
44, Line.mdv201_hn_2_663_c62247, 62237.3, 62247.3,     2.2464
45, Transformer.mdv201_hn_2_663_c62247-1c, 62247.3, x_62247.3,     2.2464
46, Line.s_mdv201_hn_2_663_c62247-1c0, x_62247.3, x_62247_1.3,     2.2769
-1, Load.mdv201_hn_2_663_c62247-1c0, x_62247_1.3
45, Line.mdv201_hn_2_664_c62252, 62247.3, 62252.3,     2.3065
46, Line.mdv201_hn_2_665_c62311, 62252.3, 62311.3,     2.3543
47, Transformer.mdv201_hn_2_665_c62311-1c, 62311.3, x_62311.3,     2.3543
48, Line.s_mdv201_hn_2_665_c62311-1c3, x_62311.3, x_62311_4.3,     2.3848
-1, Load.mdv201_hn_2_665_c62311-1c3, x_62311_4.3
48, Line.s_mdv201_hn_2_665_c62311-1c2, x_62311.3, x_62311_3.3,     2.3848
-1, Load.mdv201_hn_2_665_c62311-1c2, x_62311_3.3
48, Line.s_mdv201_hn_2_665_c62311-1c1, x_62311.3, x_62311_2.3,     2.3848
-1, Load.mdv201_hn_2_665_c62311-1c1, x_62311_2.3
48, Line.s_mdv201_hn_2_665_c62311-1c0, x_62311.3, x_62311_1.3,     2.3848
-1, Load.mdv201_hn_2_665_c62311-1c0, x_62311_1.3
47, Line.mdv201_hn_2_666_c62312, 62311.3, 62312.3,     2.4153
48, Transformer.mdv201_hn_2_666_c62312-1c, 62312.3, x_62312.3,     2.4153
49, Line.s_mdv201_hn_2_666_c62312-1c2, x_62312.3, x_62312_3.3,     2.4458
-1, Load.mdv201_hn_2_666_c62312-1c2, x_62312_3.3
49, Line.s_mdv201_hn_2_666_c62312-1c1, x_62312.3, x_62312_2.3,     2.4458
-1, Load.mdv201_hn_2_666_c62312-1c1, x_62312_2.3
49, Line.s_mdv201_hn_2_666_c62312-1c0, x_62312.3, x_62312_1.3,     2.4458
-1, Load.mdv201_hn_2_666_c62312-1c0, x_62312_1.3
46, Line.mdv201_hn_2_667_c89812, 62252.3, 89812.3,     2.3455
47, Transformer.mdv201_hn_2_667_c89812-1c, 89812.3, x_89812.3,     2.3455
48, Line.s_mdv201_hn_2_667_c89812-1c1, x_89812.3, x_89812_2.3,     2.3760
-1, Load.mdv201_hn_2_667_c89812-1c1, x_89812_2.3
48, Line.s_mdv201_hn_2_667_c89812-1c0, x_89812.3, x_89812_1.3,     2.3760
-1, Load.mdv201_hn_2_667_c89812-1c0, x_89812_1.3
47, Line.mdv201_hn_2_668_c44578, 89812.3, 44578.3,     2.3979
48, Line.mdv201_hn_2_911_c44579, 44578.3, 44579.3,     2.4756
49, Transformer.mdv201_hn_2_911_c44579-1c, 44579.3, x_44579.3,     2.4756
50, Line.s_mdv201_hn_2_911_c44579-1c0, x_44579.3, x_44579_1.3,     2.5061
-1, Load.mdv201_hn_2_911_c44579-1c0, x_44579_1.3
46, Line.mdv201_hn_2_669_c89789, 62252.3, 89789.3,     2.3446
47, Transformer.mdv201_hn_2_669_c89789-1c, 89789.3, x_89789.3,     2.3446
48, Line.s_mdv201_hn_2_669_c89789-1c0, x_89789.3, x_89789_1.3,     2.3750
-1, Load.mdv201_hn_2_669_c89789-1c0, x_89789_1.3
47, Line.mdv201_hn_2_670_c89784, 89789.3, 89784.3,     2.3897
48, Transformer.mdv201_hn_2_670_c89784-1c, 89784.3, x_89784.3,     2.3897
49, Line.s_mdv201_hn_2_670_c89784-1c1, x_89784.3, x_89784_2.3,     2.4201
-1, Load.mdv201_hn_2_670_c89784-1c1, x_89784_2.3
49, Line.s_mdv201_hn_2_670_c89784-1c0, x_89784.3, x_89784_1.3,     2.4201
-1, Load.mdv201_hn_2_670_c89784-1c0, x_89784_1.3
48, Line.mdv201_hn_2_671_c89781, 89784.3, 89781.3,     2.4424
49, Transformer.mdv201_hn_2_671_c89781-1c, 89781.3, x_89781.3,     2.4424
50, Line.s_mdv201_hn_2_671_c89781-1c1, x_89781.3, x_89781_2.3,     2.4729
-1, Load.mdv201_hn_2_671_c89781-1c1, x_89781_2.3
50, Line.s_mdv201_hn_2_671_c89781-1c0, x_89781.3, x_89781_1.3,     2.4729
-1, Load.mdv201_hn_2_671_c89781-1c0, x_89781_1.3
49, Line.mdv201_hn_2_674_c62310, 89781.3, 62310.3,     2.5146
50, Transformer.mdv201_hn_2_674_c62310-1c, 62310.3, x_62310.3,     2.5146
51, Line.s_mdv201_hn_2_674_c62310-1c2, x_62310.3, x_62310_3.3,     2.5451
-1, Load.mdv201_hn_2_674_c62310-1c2, x_62310_3.3
51, Line.s_mdv201_hn_2_674_c62310-1c1, x_62310.3, x_62310_2.3,     2.5451
-1, Load.mdv201_hn_2_674_c62310-1c1, x_62310_2.3
51, Line.s_mdv201_hn_2_674_c62310-1c0, x_62310.3, x_62310_1.3,     2.5451
-1, Load.mdv201_hn_2_674_c62310-1c0, x_62310_1.3
50, Line.mdv201_hn_2_676_c62306, 62310.3, 62306.3,     2.5902
51, Transformer.mdv201_hn_2_676_c62306-1c, 62306.3, x_62306.3,     2.5902
52, Line.s_mdv201_hn_2_676_c62306-1c3, x_62306.3, x_62306_4.3,     2.6207
-1, Load.mdv201_hn_2_676_c62306-1c3, x_62306_4.3
52, Line.s_mdv201_hn_2_676_c62306-1c2, x_62306.3, x_62306_3.3,     2.6207
-1, Load.mdv201_hn_2_676_c62306-1c2, x_62306_3.3
52, Line.s_mdv201_hn_2_676_c62306-1c1, x_62306.3, x_62306_2.3,     2.6207
